Campaign_Name,Platform,Impressions,Clicks,Spend,Conversions,Status
Summer_Splash_Promo,Instagram,45000,1200,850.50,140,Active
Tech_Gadget_Launch_v2,Facebook,32000,800,900.00,45,Active
B2B_Lead_Gen_Q3,LinkedIn,15000,150,1200.00,12,Active
Viral_Video_Challenge,TikTok,120000,5000,600.00,350,Active
Retargeting_Abandoned_Cart,Google Ads,25000,950,450.00,110,Active
Brand_Awareness_General,Programmatic,60000,300,500.00,5,Paused
Holiday_Early_Bird,Email,18000,2200,150.00,180,Active
Competitor_Conquesting,Google Ads,12000,400,800.00,30,Active
Lookalike_Audience_1pc,Facebook,28000,750,550.00,65,Active
Influencer_Collab_Mega,Instagram,55000,1800,1100.00,210,Active
Spring_Sale_Countdown,Google Ads,40000,1300,700.00,95,Active
New_Product_Teaser,YouTube,35000,600,400.00,25,Paused
Flash_Sale_48hr,Email,22000,2700,200.00,220,Active
Local_Event_Promo,Facebook,15000,350,300.00,40,Active
Customer_Loyalty_Program,Instagram,30000,900,650.00,80,Active
Winter_Clearance_Event,Google Ads,50000,1600,750.00,130,Active
App_Install_Campaign,Facebook,40000,1100,950.00,55,Active
New_Store_Opening,Google Ads,20000,500,400.00,20,Paused
Sustainability_Initiative,LinkedIn,10000,120,600.00,8,Active
Back_to_School_Special,TikTok,80000,2500,550.00,300,Active
Holiday_Gift_Guide,Programmatic,70000,400,650.00,15,Paused
Winter_Holiday_Blast,Email,25000,3000,250.00,260,Active
